topic-id,topic-name
418,Equations of Lines in Point-Slope Form
419,Solving Quadratic Equations by Completing the Square
421,Corresponding Angles
422,The Quadratic Formula
423,Simplifying Rational Expressions by Factoring
424,Integration by Parts in Cyclic Cases
425,The Discriminant of a Quadratic Equation
426,Modeling With Linear Equations
427,Dividing Polynomials Using Long Division
428,Factoring Cubic Expressions by Grouping
430,Solving Equations Using the Square Root Method
431,Second Derivatives of Parametric Equations
433,The Pythagorean Theorem
434,Finding Intersections of Lines and Reciprocal Functions
435,Multiplying Rational Expressions
436,Dividing Rational Expressions
437,Adding and Subtracting Rational Expressions
440,Rational Equations With Three Terms
441,Factoring Sums and Differences of Cubes
443,Integration Using Substitution
444,Integrating Functions by Completing the Square
445,Integrating Rational Functions Using Partial Fractions
446,Integrating Rational Functions with Repeated Factors
447,Integrating Rational Functions with Irreducible Quadratic Factors
448,Simplifying Square Root Expressions Using Polynomial Factorization
450,Completing the Square
451,Absolute Value Inequalities
452,Vertical Reflections of Absolute Value Graphs
453,Graphing Elementary Quadratic Functions
454,Graphing the Cube Root Function
455,Combining Graph Transformations of Reciprocal Functions
456,Vertical Translations of Exponential Decay Functions
457,Converting From Logarithmic to Exponential Form
458,Unions of Intervals
459,The Distance Formula
460,The Circumference of a Circle
461,The Finite Limit of a Function
462,Determining Continuity from Graphs
463,L'Hopital's Rule
464,Quadratic Equations with Purely Imaginary Solutions
466,Solving First-Order ODEs Using Separation of Variables
468,Solving Quadratic Inequalities From Graphs
469,Determining the Roots of Polynomials
470,Introduction to Functions
472,The Left and Right-Sided Limits of a Function
473,The Squeeze Theorem
474,Left and Right Continuity
475,Defining Vector-Valued Functions
477,Approximating Areas With the Left Riemann Sum
478,Integrating Trigonometric Functions Using Substitution
479,Circles Inscribed in Squares
480,Solving Polynomial Equations Using the GCF
481,Solving Biquadratic Equations
483,Combining Geometric Transformations
484,Adding and Subtracting Radicals
485,Midpoints in the Coordinate Plane
487,Solving Systems of Equations by Substitution
488,Multiplying Whole Numbers Ending in Zeros
490,Similarity and Similar Polygons
491,Similarity Transformations
493,Systems of Equations With No Solutions and Infinitely Many Solutions
494,Problem Solving With Circles
496,Interior Angles of Triangles
497,Inscribed Angles
502,Properties of Congruence
503,The Triangle Proportionality Theorem
504,Surface Areas and Volumes of Similar Solids
505,Angles in Inscribed Right Triangles
506,Inscribed Quadrilaterals
508,Proving Triangle Theorems
510,Trigonometric Functions of Complementary Angles
512,The Distance Formula in Three Dimensions
513,Trigonometric Ratios in Similar Right Triangles
514,Tangent-Tangent Lines to Circles
516,Trigonometric Ratios With Radians
517,Thales' Theorem
521,Segment Bisectors and the Perpendicular Bisector Theorem
524,Additive Inverses of Numbers
525,Subtracting Mixed Numbers With Unlike Denominators Using Improper Fractions
526,The Shortest Distance Between a Point and a Line
527,Partitioning Line Segments
528,Dividing Unit Fractions by Whole Numbers Using Models
529,Dividing Whole Numbers by Unit Fractions Using Models
530,Dividing Unit Fractions by Whole Numbers
531,The SSS Congruence Criterion
532,The ASA Congruence Criterion
533,Dividing Whole Numbers by Unit Fractions
534,Introduction to Ratios
535,Two-Digit by One-Digit Division
536,Three-Digit by One-Digit Division
537,Dividing by Two-Digit Numbers With Remainders by Connecting Multiplication and Division
538,Comparing Fractions
539,Adding Fractions and Whole Numbers
540,Four-Digit by One-Digit Division
541,Multi-Digit by Two-Digit Division Using Partial Quotients
542,Proofs Involving Isosceles Triangles
543,Adding Fractions and Whole Numbers Using Models
544,Subtracting Fractions and Whole Numbers Using Models
545,Subtracting Fractions and Whole Numbers
547,Division of Whole Numbers With Decimal Quotients and Rounding
548,Estimating Decimal Division
549,Dividing Decimals Using the Standard Algorithm
550,Central Angles and Arcs
551,Dividing Decimals Using Place Value Strategies
552,Writing Ratios Using Fractions
553,Equivalent Ratios
554,Ratio Tables
555,Approximating Ratios
556,Tape Diagrams
557,Unit Rates
558,Solving Problems Using Unit Rates
559,Comparing Ratios
560,Analyzing Two-Variable Equations Using Graphs
561,Graphing Ratios
562,Understanding Percentages Using Models
563,Reasoning With Equivalent Ratios
564,Multiplying Unit Fractions by Whole Numbers Using Models
565,Multiplying Fractions by Unit Fractions Using Models
566,Multiplying Fractions by Whole Numbers: Word Problems
567,Multiplying Fractions: Word Problems
568,Interpreting Fraction Division Using Area Models
569,Connecting Fraction Multiplication and Area
570,Classifying Quadrilaterals
571,Fraction Multiplication Number Sense
572,Finding Areas Using Fraction Multiplication
573,Distances Between Points in the Coordinate Plane
575,Areas of Right Triangles
576,Finding Areas of Polygons Using Decomposition
577,Dilations of Figures in the Coordinate Plane
578,Tangent Lines to Circles
579,Secant-Secant Angles to Circles
580,Secant-Tangent Angles to Circles
582,The AAS Congruence Criterion
589,Evaluating Numerical Expressions Containing Radicals
596,Calculating Areas of Circular Sectors
597,Calculating Arc Lengths of Circular Sectors
599,Rationalizing Denominators of Algebraic Expressions
602,Euler's Method: Calculating One Step
604,Calculating Limits of Radical Functions Using Conjugate Multiplication
605,Limits of Absolute Value Functions
606,Special Limits Involving Sine
607,Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions
609,The Trigonometric Ratios
610,Calculating Angles in Right Triangles Using Trigonometry
611,The Reciprocal Trigonometric Ratios
612,Continuity Over an Interval
613,The Second Fundamental Theorem of Calculus
614,Second-Order Homogeneous ODEs: Characteristic Equations With Distinct Real Roots
616,Evaluating Limits at Infinity of Radical Functions
620,Rates of Change in Applied Contexts
621,Approximating Functions Using Local Linearity and Linearization
622,Approximating the Roots of a Number Using Local Linearity
623,Approximating Trigonometric Functions Using Local Linearity
624,Interpreting the Graph of a Function's Derivative
625,Finding the Existence of a Limit Using One-Sided Limits
626,Definite Integrals of Piecewise Functions
627,Calculating the Inverse of a Function
629,Calculating Side Lengths of Right Triangles Using Trigonometry
631,Visual Representations of Functions
632,Properties of Definite Integrals Involving the Limits of Integration
633,Calculating Trigonometric Ratios Using the Pythagorean Theorem
634,Combining Graph Transformations: Three or More Operations
636,Calculating the Total Distance Traveled by a Particle
637,Recognizing Derivatives in Limits
638,Removing Jump Discontinuities
640,Estimating Derivatives Using a Central Difference Quotient
641,Modeling With Trigonometry
642,Mathematical Induction
643,Identifying Terms in Linear Expressions
644,Identifying Like Terms in Linear Expressions
645,Identifying Coefficients and Constants
646,Proving Divisibility Using Induction
647,Solving Multiple Right Triangles Using Trigonometry
648,Finding Displacement Vectors in Two Dimensions Using Integration
649,Inhibited Decay Models With First-Order ODEs
650,Differential Operators
651,Solving Linear Equations by Clearing a Rational Expression
652,Powers of Negative One
653,Modeling With Linear Equations in Two Variables
654,Graph Transformations of Tangent and Cotangent
655,Introduction to Polynomials
657,The Degree of a Polynomial
660,Factoring Higher-Order Polynomials as a Difference of Squares
661,Roots of Quadratic Functions
665,Graphing Strict Two-Variable Linear Inequalities
666,Determining Circle Properties by Completing the Square
667,Arithmetic Sequences
668,The Nth Term of an Arithmetic Sequence
669,Finding the Common Difference of an Arithmetic Sequence
670,Solving for Variables in Arithmetic Sequences
672,Determining Indexes of Terms in Arithmetic Sequences
673,Sigma Notation
674,Surface Areas of Rectangular Solids
675,Finding the Sum of an Arithmetic Series
676,Calculating the Number of Terms in an Arithmetic Series
677,Finding the First Term of an Arithmetic Series
678,Modeling With Arithmetic Series
679,Introduction to Geometric Sequences
680,The Nth Term of a Geometric Sequence
681,Surface Areas of Cubes
684,Convergence of Geometric Series
685,Determining Indexes of Terms in Geometric Sequences
686,Writing an Infinite Geometric Series in Sigma Notation
688,Modeling Downwards Vertical Motion
689,Repeating Decimals as Infinite Geometric Series
690,Sums of Finite Geometric Series Given in Sigma Notation
691,Finding the Sum of an Infinite Geometric Series
692,The Sum of the First N Terms of a Geometric Series
695,Working With the Generalized Binomial Theorem
696,Extending Polynomial Identities to the Complex Numbers
698,Solving Rational Equations Using Cross-Multiplication
701,"Revenue, Cost, and Profit Functions"
703,Permutations
704,The Axis of Symmetry of a Parabola
705,Combinations
708,Advanced Rational Equations
709,Single Events in Probability
710,Geometric Probability
711,The Z-Score
712,Strong Induction and Recurrence Relations
714,Computing Probabilities for Three Events Using Venn Diagrams
715,The Multiplication Law for Conditional Probability
724,The Fundamental Theorem of Algebra for Quadratic Equations
725,Even and Odd Functions
726,The Common Logarithm
727,Solving Cubic Equations by Grouping
728,Dividing Polynomials Using Synthetic Division
729,Vieta's Formulas
730,Expected Values of Discrete Random Variables
733,Equations of Hyperbolas Centered at a General Point
734,Linear Correlation
735,Complex Numbers
736,Selecting a Regression Model
738,Identifying a Rational Function From a Graph
739,Tree Diagrams for Dependent Events
740,The Addition Law of Probability
742,Introduction to the Elimination Method
743,The Nth Term Test for Divergence
744,The Integral Test
745,The Comparison Test
746,The Ratio Test
747,The Alternating Series Test
748,Absolute and Conditional Convergence
749,The Root Test
750,The Limit Comparison Test
752,Using Differentiation to Calculate Critical Points
753,Introduction to Inverse Functions
754,The Range of a Function
755,Finding Lowest Common Multiples Using Prime Factorization
756,Graphs of Inverse Functions
757,The Rational Roots Theorem
758,Improper Integrals
759,Improper Integrals of the Second Kind
760,The Arc Length of a Planar Curve
762,Calculating Velocity Using Integration
763,Calculating Velocity for Plane Motion Using Differentiation
764,Introduction to Radians
765,Special Trigonometric Ratios
766,The Triangle Inequality
773,The Law of Total Probability
774,Factorials
775,Ordering Objects
776,Combining Graph Transformations of Secant and Cosecant
778,Properties of Transformed Secant and Cosecant Functions
779,Expressing an Arithmetic Series in Sigma Notation
781,Proving Matrix Identities Using Induction
784,Horizontal Stretches of Trigonometric Functions
786,Finite Linear Series
787,Finite Quadratic Series
788,Modeling With the Normal Distribution
789,Finite Cubic Series
790,Absolute Value Graphs
791,The Continuous Uniform Distribution
793,Venn Diagrams in Probability
794,Computing Probabilities for Compound Events Using Venn Diagrams
798,Differentiating Parametric Curves
799,Calculating Tangent and Normal Lines with Parametric Equations
802,The Domain of a Function
803,Graphing Curves Defined Parametrically
804,Finding Intercepts of Curves Defined Parametrically
806,Parametric Equations of Circles
807,Vertical Asymptotes of Rational Functions
808,Horizontal Asymptotes of Rational Functions
811,Finding Greatest Common Factors Using Prime Factorization
812,Defining the Derivative Using Derivative Notation
813,Introduction to Quadratic Equations
814,The Vertex Form of a Parabola
817,Vertical Translations of Exponential Growth Functions
818,The Natural Logarithm
824,Calculating Acceleration for Straight-Line Motion Using Differentiation
825,Calculating Acceleration for Plane Motion Using Differentiation
826,Finding Velocity Vectors in Two Dimensions Using Integration
829,Prime Factors
830,Verifying Trigonometric Identities Using the Double-Angle Formula for Sine
831,The Double-Angle Formula for Cosine
832,Verifying Trigonometric Identities Using the Double-Angle Formulas for Cosine
837,Parallel Lines in the Coordinate Plane
839,Equations of Lines in Standard Form
840,Prime and Composite Numbers
842,Equations of Circles Centered at the Origin
843,Equations of Circles
844,Calculating Circle Intercepts
845,Intersections of Circles with Lines
846,The Factor Theorem
847,The Remainder Theorem
848,Equations of Ellipses Centered at the Origin
849,Equations of Ellipses Centered at a General Point
850,Finding Intercepts of Ellipses
851,Finding Intersections of Ellipses and Lines
852,Finding the Center and Axes of Ellipses by Completing the Square
853,Introduction to Ellipses
854,Simplifying Expressions Using the Double-Angle Formula for Tangent
858,Using the Double-Angle Formula for Sine With the Pythagorean Theorem
860,Harmonic Series and p-Series
861,Introduction to Matrices
862,"Zero, Square, Diagonal and Identity Matrices"
863,Introduction to the Inverse of a Matrix
864,Inverses of 2x2 Matrices
865,Introduction to Linear Transformations
866,Linear Transformations of Objects in the Plane
867,Dilations and Reflections as Linear Transformations
870,Solving Equations Containing the Exponential Function
871,Equations of Hyperbolas Centered at the Origin
872,Asymptotes of Hyperbolas Centered at the Origin
873,Parametric Equations of Horizontal Hyperbolas
874,Finding Intercepts and Intersections of Hyperbolas
875,Parametric Equations of Parabolas
876,Exponential Growth and Decay Models With First-Order ODEs
877,Solving First-Order Linear ODEs Using Integrating Factors
878,Homogeneous First-Order ODEs
879,Second-Order Homogeneous ODEs: Characteristic Equations With Repeated Roots
880,Second-Order Homogeneous ODEs: Characteristic Equations With Complex Roots
881,Second-Order Inhomogeneous ODEs With Polynomial Forcing
882,Second-Order Inhomogeneous ODEs With Exponential Forcing
883,Second-Order Inhomogeneous ODEs With Sinusoidal Forcing
884,Recognizing Standard Maclaurin Series
885,Representing Functions as Power Series
886,Approximating Integrals Using Taylor Series
888,Verifying Trigonometric Identities Using the Double-Angle Formula for Tangent
890,Modeling Using Systems of Linear Equations
892,The Complex Conjugate
893,The Argument of a Complex Number
894,The Polar Form of a Complex Number
895,Solving Quadratic Equations With Complex Roots
896,The Fundamental Theorem of Algebra with Cubic Equations
897,The Fundamental Theorem of Algebra with Quartic Equations
898,Euler's Formula
905,Special Properties of the Complex Conjugate
906,Introduction to First-Order Linear ODEs
907,Linear Maps Between Two Different Vector Spaces
908,Consecutive Integer Problems
909,"Speed, Distance, Time Problems"
912,Newton's Method
913,Elementary Trigonometric Equations Containing Sine
914,Elementary Trigonometric Equations Containing Cosine
915,Elementary Trigonometric Equations Containing Tangent
918,The Bivariate Normal Distribution
919,Trigonometric Equations Containing Transformed Sine Functions
921,Trigonometric Equations Containing Transformed Cosine Functions
923,Trigonometric Equations Containing Transformed Tangent Functions
925,De Moivre's Theorem
926,Finding Powers of Complex Numbers Using De Moivre's Theorem
927,Proving Inequalities Using Induction
928,The Power-Reducing Formulas for Sine and Cosine
931,Right-Angle Rotations as Linear Transformations
932,Rotations as Linear Transformations
933,Combining Linear Transformations Using 2x2 Matrices
934,Solving 2x2 Systems of Equations Using Inverse Matrices
935,Introduction to Polar Coordinates
936,Converting from Polar Coordinates to Cartesian Coordinates
937,Polar Equations of Circles Centered at the Origin
942,Closure Properties of Polynomials
944,Approximating Areas With the Midpoint Riemann Sum
945,Approximating Areas With the Trapezoidal Rule
947,Solving Trigonometric Equations Using the Sin-Cos-Tan Identity
948,Indicator Functions
949,Quadratic Trigonometric Equations Containing Sine or Cosine
950,Introduction to Graphs
951,"Walks, Trails, Paths, and Distances"
953,Quadratic Trigonometric Equations Containing Tangent or Cotangent
954,The Degree of a Vertex
962,Modeling Work Problems
963,Modeling Coin Problems Using Systems of Linear Equations
965,Comparing Rational Numbers
966,Combining Congruence Criteria for Triangles
967,The Hyperbolic Functions
969,The Inverse Hyperbolic Functions
971,Extending the Law of Total Probability
972,Solving Equations Containing Hyperbolic Functions
973,The Area of an Ellipse
981,Infinite Series and Partial Sums
982,Convergent and Divergent Infinite Series
983,Properties of Infinite Series
984,Radius of Convergence of Power Series Centered at the Origin
986,Calculating the Equation of a Tangent Line Using Differentiation
987,Calculating the Equation of a Normal Line Using Differentiation
988,Inverting Linear Transformations
989,Area Scale Factors of Linear Transformations
990,Calculating the Eigenvalues of a 2x2 Matrix
991,Calculating the Eigenvectors of a 2x2 Matrix
992,Estimating Derivatives Using a Forward Difference Quotient
993,Estimating Derivatives Using a Backward Difference Quotient
997,The Arc Length of a Parametric Curve
998,Differentiating Curves Given in Polar Form
999,The Arc Length of a Polar Curve
1000,Finding the Area of a Polar Region
1001,The Area Bounded by Two Polar Curves
1004,Solving Inequalities Involving Geometric Sequences
1007,The Chain Rule With Exponential Functions
1016,The Sum of a Finite Geometric Series
1017,Writing Geometric Series in Sigma Notation
1018,Solving Geometric Series Problems Using Exponential Equations and Inequalities
1019,Modeling With Geometric Series
1020,Sums of Infinite Geometric Series Given in Sigma Notation
1021,Modeling Mixture Problems
1023,Solving Systems of Equations Using Inverse Matrices
1024,Solving Problems Using the Four Operations on Rational Numbers
1026,Foci of Ellipses
1027,Vertices and Eccentricity of Ellipses
1028,Directrices of Ellipses
1029,Asymptotes of Hyperbolas Centered at a General Point
1030,Foci of Hyperbolas
1031,Eccentricity and Vertices of Hyperbolas
1032,Transverse Axes of Hyperbolas
1033,Directrices of Hyperbolas
1035,Volumes of Pyramids
1036,The Chain Rule With Logarithmic Functions
1037,Integration Using the Pythagorean Identities
1038,Integration Using the Double-Angle Formulas
1040,The Area Bounded by a Curve and the X-Axis
1041,The Area Bounded by a Curve and the Y-Axis
1042,Left and Right Riemann Sums in Sigma Notation
1043,Calculating Areas Bounded by Parametric Functions
1044,Introduction to Related Rates
1045,Systems of Linear Equations With Fractional Coefficients
1046,Points of Inflection
1047,Solving Systems of Equations Using Back Substitution
1048,Solving 3x3 Systems of Equations Using Gaussian Elimination
1049,Reduced Row Echelon Form
1056,The Linear Correlation Coefficient
1057,Linear Regression
1058,Quadratic Regression
1059,Semi-Log Scatter Plots
1060,Expressing Rational Functions as Sums of Partial Fractions
1061,Solving First-Order ODEs Using Direct Integration
1062,Expressing Rational Functions with Repeated Factors as Sums of Partial Fractions
1063,Expressing Rational Functions with Irreducible Quadratic Factors as Sums of Partial Fractions
1068,Surface Areas of Pyramids
1076,Writing Sums of Trigonometric Functions in Amplitude-Phase Form
1079,"Average Position, Velocity, and Acceleration"
1080,The Lagrange Error Bound
1081,Systems of Linear Equations With Decimal Coefficients
1082,Volumes of Revolution Using the Washer Method: Rotation About Other Axes
1083,Volumes of Solids with Square Cross Sections
1084,The Shell Method: Rotation About the Y-Axis
1085,Integrating Vector-Valued Functions
1086,Defining Definite Integrals Using Left and Right Riemann Sums
1087,Limits of Sequences
1088,Convergence of Geometric Sequences
1089,Limits of Sequences With Factorials
1096,Monotonic Sequences
1100,The Triangle Law for the Addition of Two Vectors
1101,The Magnitude of a Vector
1102,Problem Solving Using Vector Diagrams
1103,Parallel Vectors
1104,Unit Vectors
1105,Linear Combinations of Vectors and Their Properties
1106,Describing the Position Vector of a Point Using Known Vectors
1107,Introduction to Vectors
1108,The Chain Rule for Differentiation
1109,The Product Rule for Differentiation
1110,The Quotient Rule for Differentiation
1112,Integrating Exponential Functions Using Linear Substitution
1114,Differentiating Exponential Functions
1115,Selecting Procedures for Calculating Derivatives
1116,Differentiating Logarithmic Functions
1117,Calculating Derivatives From Graphs
1120,The Complement of an Event
1121,Sample Spaces and Events in Probability
1124,Left and Right Opening Parabolas
1125,Upward and Downward Opening Parabolas
1128,The Vertex of a Parabola
1129,Calculating the Focus of a Parabola
1130,Calculating the Directrix of a Parabola
1131,Solving Problems Using Addition and Subtraction of Rational Numbers
1132,Calculating Intercepts of Parabolas
1134,Intersections of Parabolas With Lines
1135,Writing Numbers in Scientific Notation
1136,Converting Scientific Notation to Standard Notation
1137,Multiplying Numbers in Scientific Notation
1138,Dividing Numbers in Scientific Notation
1140,Using Integration by Parts to Calculate Integrals With Logarithms
1141,The Tabular Method of Integration by Parts
1144,Volumes of Cylinders
1145,Volumes of Right Cones
1146,Volumes of Spheres
1148,Volumes of Revolution
1149,Absolute Value Graph Transformations
1150,Vertical Reflections of Functions
1153,Exponential Functions
