study-order,topic-id,question-number,question-id,answer,expected-occurrences,answer-source
195,81,4,215307,3y^2 + 5y + 5,1,canonical-exact-blank
196,81,6,212969,-2x^3 - 3x,1,canonical-exact-blank
197,81,8,215310,4x^3 - 3x - 4,1,canonical-exact-blank
198,81,10,236421,2x^2 - 3x + 1,1,canonical-exact-blank
199,81,11,212976,2x^4 - 3x^2 + 12x,1,canonical-exact-blank
200,1321,3,171902,110,1,manual-solution
201,1321,6,223207,33.75,1,manual-solution
202,1321,7,171908,42,1,manual-solution
203,2274,2,210497,0.01,1,manual-solution
204,2274,3,210541,40,1,manual-solution
205,2274,5,210543,200,1,manual-solution
206,2273,2,217121,-42/x,1,manual-solution
207,2273,3,212101,2/3,1,manual-solution
208,2273,7,212148,8/x,1,manual-solution
209,2273,8,212149,4,1,manual-solution
210,3752,2,208693,5/(3q - 1),1,canonical-exact-blank
211,3752,4,215773,6/(3x - 7),1,canonical-exact-blank
212,3752,5,215808,2q/(15q - 8),1,canonical-exact-blank
213,3752,6,208700,11/(3k - 2),1,canonical-exact-blank
214,2225,1,171700,"3, -2",1,manual-solution
215,2225,2,238014,"3, 0",1,manual-solution
216,698,2,217258,6,1,manual-solution
217,698,4,217272,-1/4,1,manual-solution
218,698,5,212111,4,1,manual-solution
219,4029,2,212480,-5,1,manual-solution
220,4029,5,212482,"-3, 8",1,manual-solution
221,4029,6,215511,"-8, 6",1,manual-solution
222,349,2,216988,25y^5 - 50y^3 + 250y,1,manual-solution
223,349,5,217002,-5x^7 + 10x^2 - 20x,1,manual-solution
224,349,8,217025,2b^6 - b^4/2 - 2b^3/3,1,manual-solution
225,349,9,217026,9x^5 - 9x^3/5,1,manual-solution
226,349,12,217042,12h^3k^2 + 24h^4k - 4h^5,1,manual-solution
227,665,5,215159,2x + 1,1,manual-solution
228,665,6,208855,-3x/2 + 2,1,manual-solution
229,3827,5,208856,-x/2 + 1,1,manual-solution
230,3827,6,208857,-x/3 + 3,1,manual-solution
231,2234,2,218647,"19.5, 20.5",1,manual-solution
232,2234,4,218714,"10.245, 10.255",1,manual-solution
233,2234,6,210524,29,1,manual-solution
234,354,1,208710,(y - 3x)/2,1,canonical-exact-blank
235,354,3,214833,(p - 2w)/2,1,canonical-exact-blank
236,354,4,215087,a/b,1,canonical-exact-blank
237,354,5,215097,w/(4xy),1,canonical-exact-blank
238,354,7,215178,(a + b)/(5d),1,canonical-exact-blank
239,354,8,208715,(20p + 8r)/p,1,canonical-exact-blank
240,354,9,215401,(s - b)/r,1,canonical-exact-blank
241,430,4,218567,"-2/5, 2/5",1,manual-solution
242,430,8,218603,"-5sqrt(2), 5sqrt(2)",1,manual-solution
243,742,1,208809,"3, -2",1,manual-solution
244,742,3,208810,"2, -3",1,manual-solution
245,742,5,208813,"2, 4",1,manual-solution
246,742,7,208814,7x,1,manual-solution
247,742,8,208815,-5y,1,manual-solution
248,3555,3,215061,-6/7,1,manual-solution
249,3555,5,212151,8,1,manual-solution
250,3555,6,215143,-4,1,manual-solution
251,371,2,216683,"5, 14",3,canonical-exact-blank
252,371,3,214088,"6, 17, 5",3,canonical-exact-blank
253,371,6,216734,"-7, 7, 6, 6",3,canonical-exact-blank
254,2181,4,213220,2t,1,manual-solution
255,2181,5,216430,3b^2,1,manual-solution
256,2181,6,216433,3ab,1,manual-solution
257,2181,8,213222,8t,1,manual-solution
258,2229,1,210466,6900,1,manual-solution
259,839,6,208783,"2x + 10y, 5",1,manual-solution
260,839,8,214627,"5x - 3y, -8",1,manual-solution
261,839,10,208786,"3x - y, -7",1,manual-solution
262,839,11,214648,"x + 2y, -1",1,manual-solution
263,4026,5,208816,"2, -1",1,manual-solution
264,4026,8,238087,"-1, 3",1,manual-solution
265,360,2,215815,49q^2 + 42q + 9,1,manual-solution
266,360,4,216486,x^4 + 10x^2 + 25,1,manual-solution
267,360,6,216503,4x^8 + 4x^4y^3 + y^6,1,manual-solution
268,360,8,215916,25p^2 - 20pq + 4q^2,1,manual-solution
269,360,9,216525,x^2 + 6x + 9,1,manual-solution
270,2275,2,215869,6,3,canonical-exact-blank
271,2275,3,237271,"16, 81",3,canonical-exact-blank
272,2625,2,218438,15w,1,manual-solution
273,2625,4,218440,40k^4,1,manual-solution
274,2625,5,218441,24x^2y^4,1,manual-solution
275,2625,8,218474,18y^3w^3,1,manual-solution
276,1985,1,220291,5,1,manual-solution
277,1985,4,220294,8,1,manual-solution
278,1985,6,220297,3,1,manual-solution
279,485,2,212643,"1/2, 5/2",1,manual-solution
280,485,3,212647,"3p, 6q",1,manual-solution
281,485,5,216932,"3a, 9b/2",1,manual-solution
282,485,6,212649,"7, 3",1,manual-solution
283,485,7,212650,"-2, 8",1,manual-solution
284,609,1,263317,28/53,1,manual-solution
285,609,4,241911,sqrt(15)/4,1,manual-solution
286,609,6,241912,3sqrt(10)/20,1,manual-solution
287,609,8,264136,2,1,manual-solution
288,609,9,241915,0.951,1,manual-solution
289,3990,1,210470,2.5,1,manual-solution
290,3990,2,215032,0.7,1,manual-solution
291,3990,3,215039,1.48,1,manual-solution
292,3990,4,210471,0.68,1,manual-solution
293,3990,5,210473,2.3,1,manual-solution
294,3990,6,215055,0.05,1,manual-solution
295,3725,2,214657,-3,1,manual-solution
296,3725,4,208789,"2, 0",1,manual-solution
297,3725,5,208792,-2,1,manual-solution
298,3725,6,208794,"0, 1/2",1,manual-solution
299,1589,2,222338,1.5,1,manual-solution
300,1589,3,222362,75,1,manual-solution
301,487,1,171690,"-2, 3",1,manual-solution
302,790,2,221423,|x| - 6,1,manual-solution
303,790,3,221426,"3, 0",1,manual-solution
304,790,6,222363,"3, 2",1,manual-solution
305,790,7,221437,|x - 3| + 2,1,manual-solution
306,3817,4,222424,"4, 6",5,canonical-exact-blank
307,3817,5,221503,2,5,canonical-exact-blank
308,3817,6,222435,"2, 2, 2, 1",5,canonical-exact-blank
309,3817,8,313448,"35, 10",5,canonical-exact-blank
310,472,2,300664,"2, 2",5,canonical-exact-blank
311,1414,6,287985,10,1,canonical-exact-blank
312,5572,5,288643,-3,1,canonical-exact-blank
313,5572,6,287667,4,1,canonical-exact-blank
314,5572,8,287678,2,1,canonical-exact-blank
315,837,2,215719,-7,1,manual-solution
316,837,3,215726,-1/8,1,manual-solution
317,837,7,214098,-6,1,manual-solution
318,837,8,214099,20,1,manual-solution
319,408,1,208830,"1, 2",1,manual-solution
320,408,3,208840,"1/2, -1/2",1,manual-solution
321,408,5,215423,"5, -2",1,manual-solution
322,408,6,208847,"3, 6",1,manual-solution
323,408,8,215453,"3, 5",1,manual-solution
324,452,1,221343,-|x| + 4,1,manual-solution
325,452,4,222227,"-3, 0",1,manual-solution
326,452,5,222269,-|x - 3| + 4,1,manual-solution
327,89,2,213453,(x + 7)(x + 4),1,canonical-exact-blank
328,89,5,224589,(x + 11)(x - 3),1,canonical-exact-blank
329,89,7,213456,(x - 1)(x - 4),1,canonical-exact-blank
330,89,9,224876,(y - 12)(y - 4),1,canonical-exact-blank
331,813,3,221823,21,1,manual-solution
332,813,6,218426,4x^2 - 3x - 6 = 0,1,manual-solution
333,813,8,221838,z^2 - 3z - 2 = 0,1,manual-solution
334,1427,5,215415,-3,1,manual-solution
335,1427,6,215416,2,1,manual-solution
336,1427,7,215417,3,1,manual-solution
337,1427,8,215418,-3,1,manual-solution
338,1427,9,215951,6,1,manual-solution
339,459,2,214934,3sqrt(5),1,manual-solution
340,459,4,216298,sqrt(101),1,manual-solution
341,459,5,214936,sqrt(30),1,manual-solution
342,1045,2,215741,"6, 2",1,manual-solution
343,1045,3,216178,"6, 3",1,manual-solution
344,1045,4,216326,"2, -3",1,manual-solution
345,1045,6,215749,"4, 0",1,manual-solution
346,1045,7,215755,"1/2, 1/4",1,manual-solution
347,1045,8,215762,"-1, -2",1,manual-solution
348,493,7,208832,(x + 3)/4,1,manual-solution
349,372,2,213910,(2x + 3)(x + 2),1,manual-solution
350,372,4,224927,(2a - 1)(a + 1),1,manual-solution
351,372,8,224896,(6a - 1)(a - 4),1,manual-solution
352,372,9,224920,(4x - 3)(x - 3),1,manual-solution
353,6207,2,300874,55 + 2x,1,manual-solution
354,6207,4,357032,6,1,manual-solution
355,1423,2,218640,"-1/2, 2",1,manual-solution
356,1423,4,221818,"-4, 1",1,manual-solution
357,1423,6,218661,"-3/5, -1/5",1,manual-solution
358,1423,7,221851,"(1 - sqrt(5))/3, (1 + sqrt(5))/3",1,manual-solution
359,2626,2,218482,30(w - 8),1,manual-solution
360,2626,4,222016,9(y + 7)^4,1,manual-solution
361,2626,5,218516,20u^3(v - 2)^5,1,manual-solution
362,2626,7,218518,12(x + 1)^5,1,manual-solution
363,2626,8,218519,20u^3(v - 2)^4,1,manual-solution
364,3556,2,215701,x/2 + 6,1,manual-solution
365,3556,3,216200,-2x + 2,1,manual-solution
366,3556,4,214094,2x + 1,1,manual-solution
367,3556,5,214093,"4x + y, -7",1,manual-solution
368,3556,6,216399,"2x - y, -3",1,manual-solution
369,3562,1,213914,-x/3 + 2,1,manual-solution
370,3562,4,214038,5x/2 - 20,1,manual-solution
371,3562,5,214033,3x - 8,1,manual-solution
372,629,2,250716,11.3,1,manual-solution
373,629,3,241926,8/sin(phi),1,manual-solution
374,629,6,250796,14/cos(theta),1,manual-solution
375,765,2,244566,sqrt(2),1,manual-solution
376,765,5,266531,sqrt(3)/3,1,manual-solution
377,765,7,244569,sqrt(3),1,manual-solution
378,765,9,244571,3/2,1,manual-solution
379,764,2,266844,3pi/4,1,manual-solution
380,764,4,266858,22.5,1,manual-solution
381,764,7,266878,83,1,manual-solution
382,764,8,266889,1.7,1,manual-solution
383,1183,2,263083,"1, -1",1,manual-solution
384,1183,3,239206,5,1,manual-solution
385,1183,6,239207,"2, -3, 2sqrt(5)",1,manual-solution
386,4951,4,225186,3(3k - 1)(5k + 1),1,manual-solution
387,4951,6,225073,4(2y - 5)(y - 2),1,manual-solution
388,1425,2,222383,-4/5,1,manual-solution
389,1425,4,218512,2,1,manual-solution
390,1425,5,222447,8,1,manual-solution
391,1425,7,218515,1/3,1,manual-solution
392,1425,8,222460,2,1,manual-solution
393,1424,2,262281,"-5/4, 5/4",1,manual-solution
394,1424,3,218505,"-sqrt(5)/2, sqrt(2)",1,manual-solution
395,1424,4,218506,"0, 8",1,manual-solution
396,1424,6,262296,"-sqrt(2)/2, 0",1,manual-solution
397,1424,8,218509,"3, 8",1,manual-solution
398,6092,2,288052,1,1,manual-solution
399,6092,4,288054,15,1,manual-solution
400,6092,6,288057,7,1,manual-solution
401,1608,1,244470,19,1,manual-solution
402,1608,3,244471,12,1,manual-solution
403,1608,5,251122,288,1,manual-solution
404,1608,7,244476,54,1,manual-solution
405,1608,8,244479,72,1,manual-solution
406,391,2,223134,-5,1,manual-solution
407,391,3,223140,2,1,manual-solution
408,391,5,223154,-3,1,manual-solution
409,391,7,223185,2,1,manual-solution
410,391,8,212589,2,1,manual-solution
411,33,3,250348,"12, 20",1,canonical-exact-blank
412,33,4,250369,-35,1,canonical-exact-blank
413,33,6,250386,27,1,canonical-exact-blank
414,33,8,218538,"12, 8",1,canonical-exact-blank
415,33,10,218539,"10, 11",1,canonical-exact-blank
416,33,12,250605,"-1, 32",1,canonical-exact-blank
417,1456,1,265943,70,1,manual-solution
418,1456,5,266042,2pi/5,1,manual-solution
419,1456,6,266086,66,1,manual-solution
420,1456,9,266138,"7pi/8, 15pi/8",1,manual-solution
421,112,3,267324,0.82,1,manual-solution
422,112,4,267352,66.42,1,manual-solution
423,112,6,246763,2sqrt(6)/3,1,manual-solution
424,112,9,267423,2sqrt(5)/15,1,manual-solution
425,3728,2,235987,"0, 2",1,manual-solution
426,3728,4,212279,2,1,manual-solution
427,3728,6,235960,"-1, 2",1,manual-solution
428,1153,3,218564,9/2,1,manual-solution
429,1153,8,218597,18,1,manual-solution
430,1153,9,218642,2,1,manual-solution
431,1153,10,218653,-2,1,manual-solution
432,394,1,220316,"-6, 6",1,manual-solution
433,394,3,220319,"-11/10, 11/10",1,manual-solution
434,394,5,220321,"-5/12, 5/12",1,manual-solution
435,394,6,220322,"-5/2, 5/2",1,manual-solution
436,394,7,220323,"-12, 12",1,manual-solution
437,394,8,250204,"-1/2, 1/2",1,manual-solution
438,393,1,223706,"0, 6",1,manual-solution
439,393,2,223707,"-3/2, 0",1,manual-solution
440,393,3,220340,"0, 24",1,manual-solution
441,393,4,220341,"0, 1/7",1,manual-solution
442,393,5,223741,"-5, 0",1,manual-solution
443,393,7,223805,"0, 6/5",1,manual-solution
444,450,2,250399,(x + 3)^2 - 2,1,manual-solution
445,450,4,250431,(x - 7)^2 + 2,1,manual-solution
446,450,7,250390,"7, -18",1,manual-solution
447,450,8,235904,(y - 9)^2 - 17,1,manual-solution
448,6266,1,310056,27,1,manual-solution
449,6266,2,310057,1,1,manual-solution
450,729,5,288848,x^2 - 7x + 12,1,manual-solution
451,729,6,288103,3x^2 - 12x - 15,1,manual-solution
452,410,2,315137,"-1, 3",1,manual-solution
453,410,5,315145,"2, -15",1,manual-solution
454,2979,2,237947,"-3, -2",1,manual-solution
455,2979,4,237949,"-1/3, 2",1,manual-solution
456,842,1,240362,"0, 0, 10",1,manual-solution
457,842,5,249835,"x^2 + y^2, 49",1,manual-solution
458,842,7,240611,"x^2 + y^2, 36",1,manual-solution
459,842,9,249867,"x^2 + y^2, 6",1,manual-solution
460,842,11,250088,"x^2 + y^2, 8",1,manual-solution
461,451,2,215464,"0, 4",1,manual-solution
462,451,3,215466,"-19/10, 1/2",1,manual-solution
463,451,5,215482,"-1, 11",1,manual-solution
464,451,6,215489,"3, 25/3",1,manual-solution
465,451,8,215496,"-5/2, 3",1,manual-solution
466,451,9,215707,"-1, 19/9",1,manual-solution
467,3842,2,221410,(y + 13/2)^2 - 7,1,manual-solution
468,3842,3,221412,(x + 3/2)^2 + 27/4,1,manual-solution
469,3842,6,221418,(y - 15/2)^2 - 225/4,1,manual-solution
470,661,2,220277,-2,1,manual-solution
471,661,4,222303,"11/4, 13/4",1,manual-solution
472,704,2,220351,2,1,manual-solution
473,704,4,220360,"3, -2",1,manual-solution
474,704,5,220361,-18,1,manual-solution
475,6341,2,220364,"-2, 3",1,manual-solution
476,6341,3,220366,"1, 9",1,manual-solution
477,6341,6,250095,"-2, 8",1,manual-solution
478,6341,7,220369,-5,1,manual-solution
479,2271,2,262867,306,6,canonical-exact-blank
480,2271,3,214103,23,6,canonical-exact-blank
481,269,1,262318,1,3,canonical-exact-blank
482,269,3,262382,0,3,canonical-exact-blank
483,269,4,262448,0,3,canonical-exact-blank
484,269,7,246828,2,3,canonical-exact-blank
485,848,4,279153,4x^2/9 + 4y^2/81,1,manual-solution
486,1590,2,237038,630,3,canonical-exact-blank
487,1590,3,208838,315,3,canonical-exact-blank
488,1590,5,237063,135,3,canonical-exact-blank
489,1590,7,237117,4,3,canonical-exact-blank
490,1590,8,222494,54,3,canonical-exact-blank
491,1590,10,237172,5,3,canonical-exact-blank
492,2464,3,237246,"25, 3",1,manual-solution
493,2464,7,212627,8,1,manual-solution
494,1429,3,249993,">, <",1,manual-solution
495,1429,7,220313,">, <, >",1,manual-solution
496,1429,9,220315,>,1,manual-solution
497,1451,2,223657,-1/3,1,manual-solution
498,1451,3,223659,-7/30,1,manual-solution
499,1451,4,220355,8,1,manual-solution
500,1451,7,223691,2,1,manual-solution
501,1451,8,223695,3/44,1,manual-solution
502,1451,9,311954,1,1,manual-solution
503,1451,10,311973,-4,1,manual-solution
504,688,2,221581,138.4,1,manual-solution
505,688,3,221584,10.4,1,manual-solution
506,688,5,251709,6.5,1,manual-solution
507,688,7,251719,2.5,1,manual-solution
508,895,1,218476,"3, 2",1,manual-solution
509,895,2,218477,"3, 4",1,manual-solution
510,895,4,218478,"1, 7",1,manual-solution
511,895,7,218480,"-4, 10",1,manual-solution
512,1252,7,250280,"-16, 5",1,manual-solution
513,679,2,250658,9,1,manual-solution
514,679,5,250674,7.68,1,manual-solution
515,679,7,250810,6,1,manual-solution
516,3546,1,249946,(x + 2)^2 - 1,1,manual-solution
517,3546,3,220346,5(x - 1)^2 + 10,1,manual-solution
518,3546,5,249979,x^2 - 6x + 13,1,manual-solution
519,104,3,270966,5x^2 + 12x + 4,1,manual-solution
520,347,3,208742,"-1, 0",4,canonical-exact-blank
521,347,4,214604,1,4,canonical-exact-blank
522,347,5,214619,"-3, 2",4,canonical-exact-blank
523,2760,1,331183,0,2,manual-solution
524,2760,2,331233,3,2,manual-solution
525,28,2,227371,3,1,canonical-exact-blank
526,28,4,227376,1.45,1,canonical-exact-blank
527,28,5,262868,0.540,1,canonical-exact-blank
528,28,7,262884,3/2,1,canonical-exact-blank
529,1226,2,217094,-4,3,canonical-exact-blank
530,1226,6,217109,7,3,canonical-exact-blank
531,1226,8,217120,18,3,canonical-exact-blank
532,1226,10,217141,"1/2, 20",3,canonical-exact-blank
533,667,1,214150,6,3,canonical-exact-blank
534,667,3,215846,7/2,3,canonical-exact-blank
535,667,7,214151,35,3,canonical-exact-blank
536,667,8,215860,18,3,canonical-exact-blank
537,73,2,214136,7,1,canonical-exact-blank
538,73,4,237448,-3,1,canonical-exact-blank
539,73,6,237455,5,1,canonical-exact-blank
540,3695,2,214153,-9,1,manual-solution
541,3695,4,214155,"a_n + 6, -8",1,manual-solution
542,668,2,214167,6n - 3,3,canonical-exact-blank
543,668,3,236449,2n - 5,3,canonical-exact-blank
544,668,6,236630,98,3,canonical-exact-blank
545,668,7,236646,3n - 8,3,canonical-exact-blank
546,669,2,214178,9,1,manual-solution
547,669,3,216164,1,1,manual-solution
548,669,5,216501,3,1,manual-solution
549,669,6,216516,0.1,1,manual-solution
550,1818,2,249792,"(4/5)a_n, 100",2,canonical-exact-blank
551,1818,3,249795,"(-2/3)a_n, 243",2,canonical-exact-blank
552,1818,4,233046,25,2,canonical-exact-blank
553,1818,5,249805,4,2,canonical-exact-blank
554,1818,8,233070,-4,2,canonical-exact-blank
555,3830,2,222050,sqrt(7 - x) - 1,1,manual-solution
556,3830,4,220372,sqrt((x + 2)/5) + 1,1,manual-solution
557,3830,5,220374,-sqrt((x - 5)/4),1,manual-solution
558,2214,1,214207,"a_n + 3, 7",1,manual-solution
559,2214,4,236697,"f(n) + 0.2, 1",1,manual-solution
560,2214,5,214220,4n - 5,1,manual-solution
561,2214,7,236863,1 - 3n,1,manual-solution
562,680,2,231754,1/128,4,canonical-exact-blank
563,680,4,231755,5,4,canonical-exact-blank
564,680,5,231756,6,4,canonical-exact-blank
565,680,7,231757,1/512,4,canonical-exact-blank
566,680,9,231759,1/12,4,canonical-exact-blank
567,1473,1,227307,log_6(21),1,canonical-exact-blank
568,672,2,236400,31,1,manual-solution
569,672,4,214198,22,1,manual-solution
