study-order,layer,group,course,topic-id,topic-code,topic-name,question-number,question-numbers,question-id,source-blank-count,canonical-occurrences,active-copy-occurrences,total-occurrences,current-types,marker-occurrences,ledger-status,seed-state,seed-source,keyboard-answer,correct-label,correct-content,source-prompt,current-content,layout-template,canonical-placements,active-copy-placements
19,20,Mathematical-Foundations,MF1,528,MF1.1.5.3,Dividing Unit Fractions by Whole Numbers Using Models,10,10,223012,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1/28,,,"Use the model above to solve the following division problem.[MATH: (1)/(4) ÷ 7 =]
[FREE_ENTRY 1]","![](<../Source/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models/Images/q-223012.png>)

Use the model above to solve the following division problem.$\frac{1}{4} \div 7 =$

Answer: ==1/28==.","{{image-1}}

Use the model above to solve the following division problem.$\frac{1}{4} \div 7 =$

Answer: ==1/28==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models.md,
20,21,Mathematical-Foundations,MF1,2353,MF1.1.2.7,Adding Fractions With Unlike Denominators,4,4,172121,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,11/18,,,[MATH: (1)/(9) + (1)/(2) =][FREE_ENTRY 1],"$\frac{1}{9} + \frac{1}{2} =$

Answer: ==11/18==.","$\frac{1}{9} + \frac{1}{2} =$

Answer: ==11/18==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.7. Adding Fractions With Unlike Denominators.md,
21,21,Mathematical-Foundations,MF1,2353,MF1.1.2.7,Adding Fractions With Unlike Denominators,5,5,195554,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,11/60,,,[MATH: (1)/(12) + (1)/(10) =][FREE_ENTRY 1],"$\frac{1}{12} + \frac{1}{10} =$

Answer: ==11/60==.","$\frac{1}{12} + \frac{1}{10} =$

Answer: ==11/60==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.7. Adding Fractions With Unlike Denominators.md,
22,21,Mathematical-Foundations,MF1,530,MF1.1.5.4,Dividing Unit Fractions by Whole Numbers,3,3,196436,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1/88,,,[MATH: (1)/(4) ÷ 22 =][FREE_ENTRY 1],"$\frac{1}{4} \div 22 =$

Answer: ==1/88==.","$\frac{1}{4} \div 22 =$

Answer: ==1/88==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.4. Dividing Unit Fractions by Whole Numbers.md,
23,21,Mathematical-Foundations,MF1,530,MF1.1.5.4,Dividing Unit Fractions by Whole Numbers,5,5,172182,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1/75,,,[MATH: (1)/(25) ÷ 3 =][FREE_ENTRY 1],"$\frac{1}{25} \div 3 =$

Answer: ==1/75==.","$\frac{1}{25} \div 3 =$

Answer: ==1/75==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.4. Dividing Unit Fractions by Whole Numbers.md,
24,21,Mathematical-Foundations,MF1,530,MF1.1.5.4,Dividing Unit Fractions by Whole Numbers,7,7,197618,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1/12,,,"Elizabeth has [MATH: (1)/(2)] of a cake to distribute among [MATH: 6] children. If each child gets the same size piece, how much of the cake will each child get?Expressed as a fraction, each child will get
[FREE_ENTRY 1] of the cake.","Elizabeth has $\frac{1}{2}$ of a cake to distribute among $6$ children. If each child gets the same size piece, how much of the cake will each child get?Expressed as a fraction, each child will get

Answer: ==1/12==.","Elizabeth has $\frac{1}{2}$ of a cake to distribute among $6$ children. If each child gets the same size piece, how much of the cake will each child get?Expressed as a fraction, each child will get

Answer: ==1/12==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.4. Dividing Unit Fractions by Whole Numbers.md,
25,22,Mathematical-Foundations,MF1,2360,MF1.1.4.3,Multiplying Fractions by Whole Numbers,1,1,186829,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,28/15,,,"Expressed as an improper fraction in its lowest terms, [MATH: 4 × (7)/(15) =][FREE_ENTRY 1].","Expressed as an improper fraction in its lowest terms, $4 \cdot \frac{7}{15} =$

Answer: ==28/15==.","Expressed as an improper fraction in its lowest terms, $4 \cdot \frac{7}{15} =$

Answer: ==28/15==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.3. Multiplying Fractions by Whole Numbers.md,
26,22,Mathematical-Foundations,MF1,2360,MF1.1.4.3,Multiplying Fractions by Whole Numbers,4,4,186845,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1,,,"Expressed as a whole number, [MATH: (1)/(2) × 2 =][FREE_ENTRY 1].","Expressed as a whole number, $\frac{1}{2} \cdot 2 =$

Answer: ==1==.","Expressed as a whole number, $\frac{1}{2} \cdot 2 =$

Answer: ==1==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.3. Multiplying Fractions by Whole Numbers.md,
27,22,Mathematical-Foundations,MF1,2360,MF1.1.4.3,Multiplying Fractions by Whole Numbers,6,6,187249,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,3/4,,,"Expressed as a fraction in its lowest terms, [MATH: 2 × (3)/(8) =][FREE_ENTRY 1].","Expressed as a fraction in its lowest terms, $2 \cdot \frac{3}{8} =$

Answer: ==3/4==.","Expressed as a fraction in its lowest terms, $2 \cdot \frac{3}{8} =$

Answer: ==3/4==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.3. Multiplying Fractions by Whole Numbers.md,
28,22,Mathematical-Foundations,MF1,2360,MF1.1.4.3,Multiplying Fractions by Whole Numbers,7,7,187309,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,5 1/4,,,"Expressed as a mixed number in its lowest terms, [MATH: 6 × (7)/(8) =][FREE_ENTRY 1].","Expressed as a mixed number in its lowest terms, $6 \cdot \frac{7}{8} =$

Answer: ==5 1/4==.","Expressed as a mixed number in its lowest terms, $6 \cdot \frac{7}{8} =$

Answer: ==5 1/4==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.3. Multiplying Fractions by Whole Numbers.md,
29,22,Mathematical-Foundations,MF1,2360,MF1.1.4.3,Multiplying Fractions by Whole Numbers,8,8,187312,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1 1/2,,,"Expressed as a mixed number in its lowest terms, [MATH: (3)/(8) × 4 =][FREE_ENTRY 1].","Expressed as a mixed number in its lowest terms, $\frac{3}{8} \cdot 4 =$

Answer: ==1 1/2==.","Expressed as a mixed number in its lowest terms, $\frac{3}{8} \cdot 4 =$

Answer: ==1 1/2==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.3. Multiplying Fractions by Whole Numbers.md,
30,22,Mathematical-Foundations,MF1,3079,MF1.1.4.8,Multiplying Fractions Using Models,2,2,174132,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1/4,,,"Find the missing numbers in the multiplication problem represented by the model above.[FREE_ENTRY 1]
[MATH: × (3)/(5) = (3)/(20).]","![](<../Source/1.4.8. Multiplying Fractions Using Models/Images/q-174132.png>)

Find the missing number in the multiplication problem represented by the model above: $? \cdot \frac{3}{5} = \frac{3}{20}$.

Answer: ==1/4==.","{{image-1}}

Find the missing number in the multiplication problem represented by the model above: $? \cdot \frac{3}{5} = \frac{3}{20}$.

Answer: ==1/4==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.8. Multiplying Fractions Using Models.md,
31,22,Mathematical-Foundations,MF1,3079,MF1.1.4.8,Multiplying Fractions Using Models,4,4,211163,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,3,,,"Insert the missing number in the multiplication problem below.

| | | | | | | | [MATH: ×] | [FREE_ENTRY 1] | [MATH: =] | / | [MATH: 5] | | | | | | | / | | | | | / | | | | | / | | | | | / | | | | | |","Insert the missing number in the multiplication problem represented by the model: $\frac{1}{4} \cdot \frac{?}{5} = \frac{3}{20}$.

Answer: ==3==.","Insert the missing number in the multiplication problem represented by the model: $\frac{1}{4} \cdot \frac{?}{5} = \frac{3}{20}$.

Answer: ==3==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.8. Multiplying Fractions Using Models.md,
32,22,Mathematical-Foundations,MF1,3079,MF1.1.4.8,Multiplying Fractions Using Models,7,7,174133,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2/9,,,"Use the model above to solve the following multiplication problem. You do not need to simplify your answer.[MATH: (1)/(3) × (2)/(3) =]
[FREE_ENTRY 1]","![](<../Source/1.4.8. Multiplying Fractions Using Models/Images/q-174133.png>)

Use the model above to solve the following multiplication problem. You do not need to simplify your answer.

$$
\frac{1}{3} \cdot \frac{2}{3} =
$$

Answer: ==2/9==.","{{image-1}}

Use the model above to solve the following multiplication problem. You do not need to simplify your answer.

$$
\frac{1}{3} \cdot \frac{2}{3} =
$$

Answer: ==2/9==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.8. Multiplying Fractions Using Models.md,
33,22,Mathematical-Foundations,MF1,3079,MF1.1.4.8,Multiplying Fractions Using Models,8,8,211182,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,5/14,,,"Use the model above to solve the following multiplication problem. You do not need to simplify your answer.[MATH: (1)/(2) × (5)/(7) =]
[FREE_ENTRY 1]","![](<../Source/1.4.8. Multiplying Fractions Using Models/Images/q-211182.png>)

Use the model above to solve the following multiplication problem. You do not need to simplify your answer.

$$
\frac{1}{2} \cdot \frac{5}{7} =
$$

Answer: ==5/14==.","{{image-1}}

Use the model above to solve the following multiplication problem. You do not need to simplify your answer.

$$
\frac{1}{2} \cdot \frac{5}{7} =
$$

Answer: ==5/14==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.8. Multiplying Fractions Using Models.md,
34,22,Mathematical-Foundations,MF1,2388,MF1.1.5.5,Reciprocals,2,2,223906,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2,,,The reciprocal of [MATH: (1)/(2)] is[FREE_ENTRY 1].,"The reciprocal of $\frac{1}{2}$ is

Answer: ==2==.","The reciprocal of $\frac{1}{2}$ is

Answer: ==2==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.5. Reciprocals.md,
35,22,Mathematical-Foundations,MF1,2388,MF1.1.5.5,Reciprocals,3,3,223922,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1 1/2,,,"Expressed as a mixed number in its lowest terms, the reciprocal of [MATH: (2)/(3)] is[FREE_ENTRY 1].","Expressed as a mixed number in its lowest terms, the reciprocal of $\frac{2}{3}$ is

Answer: ==1 1/2==.","Expressed as a mixed number in its lowest terms, the reciprocal of $\frac{2}{3}$ is

Answer: ==1 1/2==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.5. Reciprocals.md,
36,22,Mathematical-Foundations,MF1,2388,MF1.1.5.5,Reciprocals,6,6,223933,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1/11,,,The reciprocal of [MATH: 11] is[FREE_ENTRY 1].,"The reciprocal of $11$ is

Answer: ==1/11==.","The reciprocal of $11$ is

Answer: ==1/11==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.5. Reciprocals.md,
37,22,Mathematical-Foundations,MF1,2388,MF1.1.5.5,Reciprocals,8,8,172154,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,5/22,,,The reciprocal of [MATH: 4(2)/(5)] is[FREE_ENTRY 1].,"The reciprocal of $4\frac{2}{5}$ is

Answer: ==5/22==.","The reciprocal of $4\frac{2}{5}$ is

Answer: ==5/22==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.5. Reciprocals.md,
