topic-id,topic-name,layer,courses,topic-codes,lesson-paths,source-paths
539,Adding Fractions and Whole Numbers,20,MF1,MF1.1.1.2,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.2. Adding Fractions and Whole Numbers.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Source/1.1.2. Adding Fractions and Whole Numbers
544,Subtracting Fractions and Whole Numbers Using Models,20,MF1,MF1.1.1.3,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.3. Subtracting Fractions and Whole Numbers Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Source/1.1.3. Subtracting Fractions and Whole Numbers Using Models
2374,Adding Fractions With Unlike Denominators Using Models,20,MF1,MF1.1.2.5,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.5. Adding Fractions With Unlike Denominators Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.5. Adding Fractions With Unlike Denominators Using Models
3968,Multiplying Fractions by Whole Numbers Using Models,20,MF1,MF1.1.4.2,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.2. Multiplying Fractions by Whole Numbers Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.2. Multiplying Fractions by Whole Numbers Using Models
530,Dividing Unit Fractions by Whole Numbers,21,MF1,MF1.1.5.4,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.4. Dividing Unit Fractions by Whole Numbers.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Source/1.5.4. Dividing Unit Fractions by Whole Numbers
545,Subtracting Fractions and Whole Numbers,21,MF1,MF1.1.1.4,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.4. Subtracting Fractions and Whole Numbers.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Source/1.1.4. Subtracting Fractions and Whole Numbers
565,Multiplying Fractions by Unit Fractions Using Models,21,MF1,MF1.1.4.7,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.7. Multiplying Fractions by Unit Fractions Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.7. Multiplying Fractions by Unit Fractions Using Models
2353,Adding Fractions With Unlike Denominators,21,MF1,MF1.1.2.7,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.7. Adding Fractions With Unlike Denominators.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.7. Adding Fractions With Unlike Denominators
2372,Subtracting Fractions With Unlike Denominators Using Models,21,MF1,MF1.1.2.6,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.6. Subtracting Fractions With Unlike Denominators Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.6. Subtracting Fractions With Unlike Denominators Using Models
2376,Comparing Fraction Models Using Common Denominators,21,MF1,MF1.1.2.3,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.3. Comparing Fraction Models Using Common Denominators.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.3. Comparing Fraction Models Using Common Denominators
562,Understanding Percentages Using Models,22,MF1,MF1.2.4.1,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Lessons/2.4.1. Understanding Percentages Using Models.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Source/2.4.1. Understanding Percentages Using Models
2354,Adding Mixed Numbers With Unlike Denominators,22,MF1,MF1.1.3.1,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.3. Adding and Subtracting Mixed Numbers/Lessons/1.3.1. Adding Mixed Numbers With Unlike Denominators.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.3. Adding and Subtracting Mixed Numbers/Source/1.3.1. Adding Mixed Numbers With Unlike Denominators
2357,Subtracting Fractions With Unlike Denominators,22,MF1,MF1.1.2.8,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.8. Subtracting Fractions With Unlike Denominators.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.8. Subtracting Fractions With Unlike Denominators
2360,Multiplying Fractions by Whole Numbers,22,MF1,MF1.1.4.3,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.3. Multiplying Fractions by Whole Numbers.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.3. Multiplying Fractions by Whole Numbers
2388,Reciprocals,22,MF1,MF1.1.5.5,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.5. Reciprocals.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Source/1.5.5. Reciprocals
3079,Multiplying Fractions Using Models,22,MF1,MF1.1.4.8,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.8. Multiplying Fractions Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.8. Multiplying Fractions Using Models
236,Units of Length,23,MF1,MF1.2.3.1,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Lessons/2.3.1. Units of Length.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Source/2.3.1. Units of Length
298,Multiplying Positive Numbers With Negative Numbers,23,MF1,MF1.3.2.1,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Lessons/3.2.1. Multiplying Positive Numbers With Negative Numbers.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Source/3.2.1. Multiplying Positive Numbers With Negative Numbers
327,Subtracting a Positive Number From a Smaller Positive Number,23,MF1,MF1.3.1.1,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.1. Subtracting a Positive Number From a Smaller Positive Number.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.1. Subtracting a Positive Number From a Smaller Positive Number
2281,Absolute Value,23,MF1,MF1.3.1.10,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.10. Absolute Value.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.10. Absolute Value
2356,Subtracting Mixed Numbers With Unlike Denominators,23,MF1,MF1.1.3.2,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.3. Adding and Subtracting Mixed Numbers/Lessons/1.3.2. Subtracting Mixed Numbers With Unlike Denominators.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.3. Adding and Subtracting Mixed Numbers/Source/1.3.2. Subtracting Mixed Numbers With Unlike Denominators
2378,Multiplying Fractions,23,MF1,MF1.1.4.9,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.9. Multiplying Fractions.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.9. Multiplying Fractions
2436,Dividing Fractions by Whole Numbers Using Models,23,MF1,MF1.1.5.9,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.9. Dividing Fractions by Whole Numbers Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Source/1.5.9. Dividing Fractions by Whole Numbers Using Models
2451,Converting Between Percentages and Fractions,23,MF1,MF1.2.4.2,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Lessons/2.4.2. Converting Between Percentages and Fractions.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Source/2.4.2. Converting Between Percentages and Fractions
2452,Converting Between Percentages and Decimals,23,MF1,MF1.2.4.3,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Lessons/2.4.3. Converting Between Percentages and Decimals.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Source/2.4.3. Converting Between Percentages and Decimals
2458,Strategies to Simplify Whole Number and Fraction Multiplication,23,MF1,MF1.1.4.5,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.5. Strategies to Simplify Whole Number and Fraction Multiplication.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.5. Strategies to Simplify Whole Number and Fraction Multiplication
4196,Units of Mass,23,MF1,MF1.2.3.2,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Lessons/2.3.2. Units of Mass.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Source/2.3.2. Units of Mass
4197,Units of Time,23,MF1,MF1.2.3.3,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Lessons/2.3.3. Units of Time.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Source/2.3.3. Units of Time
4198,Units of Volume,23,MF1,MF1.2.3.4,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Lessons/2.3.4. Units of Volume.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.3. Working With Units/Source/2.3.4. Units of Volume
4204,Comparing Fractions Using Common Denominators,23,MF1,MF1.1.2.4,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.4. Comparing Fractions Using Common Denominators.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.4. Comparing Fractions Using Common Denominators
525,Subtracting Mixed Numbers With Unlike Denominators Using Improper Fractions,24,MF1,MF1.1.3.3,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.3. Adding and Subtracting Mixed Numbers/Lessons/1.3.3. Subtracting Mixed Numbers With Unlike Denominators Using Improper Fractions.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.3. Adding and Subtracting Mixed Numbers/Source/1.3.3. Subtracting Mixed Numbers With Unlike Denominators Using Improper Fractions
566,Multiplying Fractions by Whole Numbers: Word Problems,24,MF1,MF1.1.4.4,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.4. Multiplying Fractions by Whole Numbers- Word Problems.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.4. Multiplying Fractions by Whole Numbers- Word Problems
2314,Introduction to Exponents,24,MF1,MF1.4.1.1,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Lessons/4.1.1. Introduction to Exponents.md,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Source/4.1.1. Introduction to Exponents
2369,Dividing Fractions by Whole Numbers,24,MF1,MF1.1.5.10,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.10. Dividing Fractions by Whole Numbers.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Source/1.5.10. Dividing Fractions by Whole Numbers
2438,Dividing Fractions Using Models,24,MF1,MF1.1.5.11,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.11. Dividing Fractions Using Models.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Source/1.5.11. Dividing Fractions Using Models
2459,Multiplying Fractions by Swapping Denominators,24,MF1,MF1.1.4.11,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.11. Multiplying Fractions by Swapping Denominators.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.11. Multiplying Fractions by Swapping Denominators
3718,Multiplying Negative Numbers,24,MF1,MF1.3.2.2,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Lessons/3.2.2. Multiplying Negative Numbers.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Source/3.2.2. Multiplying Negative Numbers
3720,Subtracting a Positive Number From a Negative Number,24,MF1,MF1.3.1.2,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.2. Subtracting a Positive Number From a Negative Number.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.2. Subtracting a Positive Number From a Negative Number
63,Introduction to Algebraic Expressions,25,MF1,MF1.5.1.1,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Lessons/5.1.1. Introduction to Algebraic Expressions.md,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Source/5.1.1. Introduction to Algebraic Expressions
330,Dividing With Negative Numbers,25,MF1,MF1.3.2.3,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Lessons/3.2.3. Dividing With Negative Numbers.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Source/3.2.3. Dividing With Negative Numbers
2321,Evaluating Exponents,25,MF1,MF1.4.1.2,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Lessons/4.1.2. Evaluating Exponents.md,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Source/4.1.2. Evaluating Exponents
2377,Dividing Whole Numbers by Fractions,25,MF1,MF1.1.5.8,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.8. Dividing Whole Numbers by Fractions.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Source/1.5.8. Dividing Whole Numbers by Fractions
2379,Multiplying Mixed Numbers by Whole Numbers,25,MF1,MF1.1.4.6,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.6. Multiplying Mixed Numbers by Whole Numbers.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.6. Multiplying Mixed Numbers by Whole Numbers
2453,Finding Part of a Number Given a Whole and a Percentage,25,MF1,MF1.2.4.4,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Lessons/2.4.4. Finding Part of a Number Given a Whole and a Percentage.md,vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.4. Percentages/Source/2.4.4. Finding Part of a Number Given a Whole and a Percentage
3679,Subtracting a Positive Fraction From a Smaller Fraction,25,MF1,MF1.3.1.3,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.3. Subtracting a Positive Fraction From a Smaller Fraction.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.3. Subtracting a Positive Fraction From a Smaller Fraction
3680,Subtracting a Positive Decimal From a Smaller Decimal,25,MF1,MF1.3.1.4,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.4. Subtracting a Positive Decimal From a Smaller Decimal.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.4. Subtracting a Positive Decimal From a Smaller Decimal
329,Adding a Positive Number to a Negative Number,26,MF1,MF1.3.1.5,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.5. Adding a Positive Number to a Negative Number.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.5. Adding a Positive Number to a Negative Number
567,Multiplying Fractions: Word Problems,26,MF1,MF1.1.4.10,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.10. Multiplying Fractions- Word Problems.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.10. Multiplying Fractions- Word Problems
2380,Multiplying Mixed Numbers by Fractions,26,MF1,MF1.1.4.12,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.12. Multiplying Mixed Numbers by Fractions.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.12. Multiplying Mixed Numbers by Fractions
2382,Dividing Fractions,26,MF1,MF1.1.5.12,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.12. Dividing Fractions.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Source/1.5.12. Dividing Fractions
2805,"Divisibility of Integers by 2, 5, 10, 4, and 8",26,MF1,MF1.3.3.1,"vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Lessons/3.3.1. Divisibility of Integers by 2, 5, 10, 4, and 8.md","vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Source/3.3.1. Divisibility of Integers by 2, 5, 10, 4, and 8"
3537,Evaluating Larger Exponents,26,MF1,MF1.4.1.3,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Lessons/4.1.3. Evaluating Larger Exponents.md,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Source/4.1.3. Evaluating Larger Exponents
3721,Constructing Algebraic Expressions,26,MF1,MF1.5.1.2,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Lessons/5.1.2. Constructing Algebraic Expressions.md,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Source/5.1.2. Constructing Algebraic Expressions
4136,Equivalent Fractions With Negative Numbers,26,MF1,MF1.3.2.4,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Lessons/3.2.4. Equivalent Fractions With Negative Numbers.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Source/3.2.4. Equivalent Fractions With Negative Numbers
297,Subtracting a Negative Number,27,MF1,MF1.3.1.7,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.7. Subtracting a Negative Number.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.7. Subtracting a Negative Number
328,Adding a Negative Number,27,MF1,MF1.3.1.6,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.6. Adding a Negative Number.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.6. Adding a Negative Number
643,Identifying Terms in Linear Expressions,27,MF1,MF1.5.1.5,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Lessons/5.1.5. Identifying Terms in Linear Expressions.md,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Source/5.1.5. Identifying Terms in Linear Expressions
840,Prime and Composite Numbers,27,MF1,MF1.3.3.3,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Lessons/3.3.3. Prime and Composite Numbers.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Source/3.3.3. Prime and Composite Numbers
2381,Multiplying Mixed Numbers,27,MF1,MF1.1.4.13,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Lessons/1.4.13. Multiplying Mixed Numbers.md,vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.4. Multiplying Fractions/Source/1.4.13. Multiplying Mixed Numbers
2475,Evaluating Whole Number Expressions Containing Exponents,27,MF1,MF1.4.1.6,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Lessons/4.1.6. Evaluating Whole Number Expressions Containing Exponents.md,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Source/4.1.6. Evaluating Whole Number Expressions Containing Exponents
2476,Evaluating Exponents With Fractional Bases,27,MF1,MF1.4.1.4,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Lessons/4.1.4. Evaluating Exponents With Fractional Bases.md,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Source/4.1.4. Evaluating Exponents With Fractional Bases
2477,Evaluating Exponents With Decimal Bases,27,MF1,MF1.4.1.5,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Lessons/4.1.5. Evaluating Exponents With Decimal Bases.md,vault/MA/Mathematical-Foundations/MF1/4. Exponents & Radicals/4.1. Exponents/Source/4.1.5. Evaluating Exponents With Decimal Bases
3543,"Divisibility of Integers by 3, 9, 6, and 7",27,MF1,MF1.3.3.2,"vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Lessons/3.3.2. Divisibility of Integers by 3, 9, 6, and 7.md","vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.3. Number Theory/Source/3.3.2. Divisibility of Integers by 3, 9, 6, and 7"
3719,Dividing With Negative Decimals and Fractions,27,MF1,MF1.3.2.5,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Lessons/3.2.5. Dividing With Negative Decimals and Fractions.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.2. Multiplication and Division of Rational Numbers/Source/3.2.5. Dividing With Negative Decimals and Fractions
524,Additive Inverses of Numbers,28,MF1,MF1.3.1.8,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Lessons/3.1.8. Additive Inverses of Numbers.md,vault/MA/Mathematical-Foundations/MF1/3. The Number System/3.1. Addition and Subtraction of Rational Numbers/Source/3.1.8. Additive Inverses of Numbers
645,Identifying Coefficients and Constants,28,MF1,MF1.5.1.6,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Lessons/5.1.6. Identifying Coefficients and Constants.md,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.1. Algebraic Expressions/Source/5.1.6. Identifying Coefficients and Constants
